date,city, pm25, pm10, o3, no2, so2, co
2025/3/2,boston, 26, 6, 31, 5, , 2
2025/3/3,boston, 14, 9, 30, 15, , 2
2025/3/4,boston, 19, 18, 33, 16, , 3
2025/3/5,boston, 37, 14, 32, 10, , 1
2025/3/6,boston, 29, 7, 32, 8, , 2
2025/3/7,boston, 17, 6, 34, 4, , 2
2025/3/8,boston, 8, 5, 32, 6, , 2
2025/3/9,boston, 9, 5, 32, 7, , 3
2025/3/10,boston, 14, 11, 33, 20, , 4
2025/3/11,boston, 20, 14, 39, 21, , 4
2025/3/12,boston, 28, 9, 31, 9, , 1
2025/3/13,boston, 15, 14, 30, 8, , 1
2025/3/14,boston, 17, 15, 26, 7, , 
2025/3/15,boston, 26, , , , , 
2025/2/2,boston, 26, 15, 24, 15, , 2
2025/2/3,boston, 27, 13, 20, 18, , 3
2025/2/4,boston, 50, 11, 28, 10, , 3
2025/2/5,boston, 22, 12, 26, 12, , 3
2025/2/6,boston, 17, 22, 17, 25, , 4
2025/2/7,boston, 32, 15, 26, 11, , 3
2025/2/8,boston, 31, 19, 29, 13, , 3
2025/2/9,boston, 24, 7, 29, 15, , 3
2025/2/10,boston, 32, 12, 27, 17, , 3
2025/2/11,boston, 35, 32, 27, 22, , 4
2025/2/12,boston, 45, 19, 30, 15, , 2
2025/2/13,boston, 35, 10, 29, 12, , 2
2025/2/14,boston, 22, 9, 30, 9, , 2
2025/2/15,boston, 14, 9, 26, 13, , 2
2025/2/16,boston, 18, 6, 27, 12, , 2
2025/2/17,boston, 19, 10, 32, 5, , 2
2025/2/18,boston, 16, 11, 28, 7, , 2
2025/2/19,boston, 18, 12, 23, 11, , 3
2025/2/20,boston, 22, 13, 21, 16, , 3
2025/2/21,boston, 23, 7, 28, 8, , 2
2025/2/22,boston, 14, 9, 31, 13, , 4
2025/2/23,boston, 18, 15, 34, 12, , 4
2025/2/24,boston, 42, 18, 35, 16, , 3
2025/2/25,boston, 51, 22, 34, 17, , 3
2025/2/26,boston, 45, 10, 30, 12, , 3
2025/2/27,boston, 23, 16, 31, 17, , 3
2025/2/28,boston, 37, 8, 29, 11, , 2
2025/3/1,boston, 16, 14, 32, 7, , 2
2025/1/2,boston, 20, 3, 26, 4, , 1
2025/1/3,boston, 6, 5, 21, 5, , 2
2025/1/4,boston, 12, 3, 26, 6, , 2
2025/1/5,boston, 9, 4, 26, 6, , 2
2025/1/6,boston, 9, 7, 21, 11, , 2
2025/1/7,boston, 13, 10, 22, 7, , 2
2025/1/8,boston, 12, 8, 23, 7, , 2
2025/1/9,boston, 10, 11, 25, 6, , 2
2025/1/10,boston, 11, 6, 25, 12, , 3
2025/1/11,boston, 11, 9, 20, 20, , 4
2025/1/12,boston, 32, 18, 28, 15, , 5
2025/1/13,boston, 38, 29, 20, 23, , 5
2025/1/14,boston, 55, 14, 25, 10, , 2
2025/1/15,boston, 24, 10, 27, 10, , 2
2025/1/16,boston, 17, 15, 20, 18, , 3
2025/1/17,boston, 29, 31, 18, 21, , 5
2025/1/18,boston, 60, 18, 20, 18, , 3
2025/1/19,boston, 49, 8, 20, 14, , 3
2025/1/20,boston, 28, 14, 26, 12, , 2
2025/1/21,boston, 36, 47, 22, 19, , 3
2025/1/22,boston, 58, 49, 22, 22, , 4
2025/1/23,boston, 56, 40, 24, 24, , 4
2025/1/24,boston, 53, 39, 22, 20, , 4
2025/1/25,boston, 57, 23, 25, 18, , 4
2025/1/26,boston, 43, 20, 29, 15, , 3
2025/1/27,boston, 42, 16, 29, 16, , 3
2025/1/28,boston, 22, 14, 29, 12, , 2
2025/1/29,boston, 19, 15, 29, 14, , 3
2025/1/30,boston, 30, 27, 29, 14, , 3
2025/1/31,boston, 20, 14, 17, 23, , 4
2025/2/1,boston, 37, 11, 30, 11, , 2
2024/10/2,boston, 24, 14, 21, 8, , 3
2024/10/3,boston, 21, 15, 25, 13, , 4
2024/10/4,boston, 24, 15, 28, 11, , 3
2024/10/5,boston, 28, 10, 26, 11, , 3
2024/10/6,boston, 22, 10, 10, 13, , 4
2024/10/7,boston, 26, 8, 11, 12, , 3
2024/10/8,boston, 21, 11, 21, 12, , 3
2024/10/9,boston, 18, 10, 26, 14, , 2
2024/10/10,boston, 16, 6, 18, 7, , 2
2024/10/11,boston, 9, 8, 20, 9, , 3
2024/10/12,boston, 13, 12, 30, 8, , 3
2024/10/13,boston, 14, 7, 21, 15, , 3
2024/10/14,boston, 15, 7, 24, 9, , 3
2024/10/15,boston, 18, 4, 23, 8, , 3
2024/10/16,boston, 9, 4, 20, 9, , 2
2024/10/17,boston, 9, 11, 19, 17, , 4
2024/10/18,boston, 23, 13, 26, 15, , 4
2024/10/19,boston, 24, 11, 26, 14, , 5
2024/10/20,boston, 26, 8, 33, 14, , 4
2024/10/21,boston, 20, 20, 39, 19, , 4
2024/10/22,boston, 35, 27, 29, 23, , 4
2024/10/23,boston, 51, 17, 37, 15, , 5
2024/10/24,boston, 40, 13, 28, 12, , 3
2024/10/25,boston, 28, 10, 19, 11, , 3
2024/10/26,boston, 16, 9, 30, 9, , 3
2024/10/27,boston, 16, 4, 24, 9, , 3
2024/10/28,boston, 11, 13, 20, 12, , 3
2024/10/29,boston, 29, 10, 24, 17, , 4
2024/10/30,boston, 20, 14, 28, 10, , 3
2024/10/31,boston, 29, 21, 35, 15, , 3
2024/11/1,boston, 51, 15, 28, 9, , 3
2024/11/2,boston, 31, 5, 17, 7, , 2
2024/11/3,boston, 13, 7, 24, 13, , 3
2024/11/4,boston, 24, 14, 18, 21, , 5
2024/11/5,boston, 37, 13, 29, 12, , 3
2024/11/6,boston, 25, 14, 29, 10, , 3
2024/11/7,boston, 25, 8, 26, 11, , 3
2024/11/8,boston, 17, 8, 26, 9, , 3
2024/11/9,boston, 13, 5, 26, 7, , 2
2024/11/10,boston, 10, 9, 28, 15, , 3
2024/11/11,boston, 23, 7, 23, 9, , 3
2024/11/12,boston, 20, 7, 25, 8, , 2
2024/11/13,boston, 10, 6, 26, 11, , 1
2024/11/14,boston, 14, 11, 22, 18, , 3
2024/11/15,boston, 20, 10, 26, 19, , 3
2024/11/16,boston, 17, 6, 28, 9, , 2
2024/11/17,boston, 11, 5, 30, 12, , 3
2024/11/18,boston, 11, 10, 24, 19, , 4
2024/11/19,boston, 20, 7, 18, 9, , 2
2024/11/20,boston, 14, 12, 17, 11, , 3
2024/11/21,boston, 21, 6, 23, 6, , 1
2024/11/22,boston, 14, 7, 20, 9, , 3
2024/11/23,boston, 18, 3, 18, 9, , 2
2024/11/24,boston, 12, 2, 22, 3, , 2
2024/11/25,boston, 6, 3, 17, 10, , 3
2024/11/26,boston, 8, 10, 4, 19, 1, 4
2024/11/27,boston, 22, 8, 16, 16, , 4
2024/11/28,boston, 23, 8, 25, 11, , 3
2024/11/29,boston, 26, 5, 21, 12, , 3
2024/11/30,boston, 15, 6, 20, 9, , 3
2024/12/1,boston, 17, 8, 19, 11, , 3
2024/12/2,boston, 29, 8, 17, 16, , 3
2024/12/3,boston, 24, 6, 19, 17, , 3
2024/12/4,boston, 18, 6, 23, 14, , 3
2024/12/5,boston, 16, 7, 18, 12, , 3
2024/12/6,boston, 32, 10, 25, 10, , 2
2024/12/7,boston, 12, 10, 22, 13, , 3
2024/12/8,boston, 21, 14, 21, 9, , 3
2024/12/9,boston, 36, 13, 19, 14, , 3
2024/12/10,boston, 27, 8, 15, 13, , 3
2024/12/11,boston, 28, 9, 32, 13, 1, 5
2024/12/12,boston, 29, 4, 23, 8, , 2
2024/12/13,boston, 13, 6, 20, 11, , 3
2024/12/14,boston, 16, 5, 21, 15, , 3
2024/12/15,boston, 15, 8, 16, 21, , 4
2024/12/16,boston, 24, 9, 19, 16, , 2
2024/12/17,boston, 19, 6, 26, 9, , 3
2024/12/18,boston, 15, 9, 16, 16, , 4
2024/12/19,boston, 27, 5, 19, 12, , 3
2024/12/20,boston, 19, 6, 17, 12, , 2
2024/12/21,boston, 19, 5, 28, 8, , 3
2024/12/22,boston, 21, 12, 27, 9, , 2
2024/12/23,boston, 29, 17, 17, 24, , 3
2024/12/24,boston, 51, 10, 18, 20, , 3
2024/12/25,boston, 42, 15, 26, 15, , 2
2024/12/26,boston, 38, 20, 17, 27, , 6
2024/12/27,boston, 42, 25, 16, 28, 1, 6
2024/12/28,boston, 61, 16, 12, 23, , 5
2024/12/29,boston, 59, 15, 20, 21, 1, 7
2024/12/30,boston, 43, , , , , 
2024/7/2,boston, 20, 12, 23, 9, 1, 2
2024/7/3,boston, 25, 17, 36, 11, , 3
2024/7/4,boston, 35, 11, 28, 3, 1, 2
2024/7/5,boston, 30, 15, 30, 5, , 2
2024/7/6,boston, 43, 12, 22, 3, 1, 2
2024/7/7,boston, 30, 12, 36, 7, , 4
2024/7/8,boston, 38, 18, 45, 13, , 4
2024/7/9,boston, 43, 15, 41, 10, , 4
2024/7/10,boston, 43, 14, 31, 6, , 3
2024/7/11,boston, 37, 12, 43, 5, , 2
2024/7/12,boston, 22, 10, 34, 8, , 3
2024/7/13,boston, 22, 10, 22, 4, , 3
2024/7/14,boston, 20, 11, 34, 8, , 4
2024/7/15,boston, 36, 17, 44, 10, , 4
2024/7/16,boston, 50, 15, 47, 8, 1, 3
2024/7/17,boston, 40, 12, 47, 9, , 2
2024/7/18,boston, 28, 14, 31, 9, , 3
2024/7/19,boston, 33, 14, 33, 7, , 2
2024/7/20,boston, 24, 11, 41, 6, , 3
2024/7/21,boston, 28, 14, 32, 9, , 3
2024/7/22,boston, 39, 16, 33, 12, 1, 3
2024/7/23,boston, 41, 13, 39, 9, , 2
2024/7/24,boston, 33, 13, 26, 6, , 2
2024/7/25,boston, 24, 10, 29, 9, , 3
2024/7/26,boston, 30, 13, 25, 8, , 2
2024/7/27,boston, 25, 30, 35, 11, , 4
2024/7/28,boston, 74, 30, 32, 12, 1, 4
2024/7/29,boston, 76, 16, 24, 11, , 4
2024/7/30,boston, 52, 20, 38, 8, , 2
2024/7/31,boston, 54, 13, 28, 6, , 3
2024/8/1,boston, 33, 16, 32, 10, , 4
2024/8/2,boston, 45, 27, 37, 16, , 5
2024/8/3,boston, 60, 12, 33, 6, , 3
2024/8/4,boston, 35, 11, 35, 6, , 3
2024/8/5,boston, 27, 18, 37, 9, , 3
2024/8/6,boston, 41, 10, 25, 7, , 2
2024/8/7,boston, 29, 9, 24, 5, , 1
2024/8/8,boston, 20, 10, 25, 6, , 2
2024/8/9,boston, 21, 14, 16, 6, , 2
2024/8/10,boston, 28, 8, 29, 4, , 3
2024/8/11,boston, 21, 10, 29, 5, , 3
2024/8/12,boston, 25, 7, 22, 8, , 2
2024/8/13,boston, 16, 15, 19, 8, , 3
2024/8/14,boston, 34, 28, 23, 11, 1, 3
2024/8/15,boston, 67, 30, 25, 14, , 3
2024/8/16,boston, 71, 28, 23, 8, , 3
2024/8/17,boston, 70, 26, 24, 5, , 3
2024/8/18,boston, 67, 23, 21, 6, , 3
2024/8/19,boston, 64, 17, 23, 8, 1, 3
2024/8/20,boston, 40, 7, 14, 7, , 3
2024/8/21,boston, 12, 8, 21, 8, , 3
2024/8/22,boston, 19, 8, 18, 8, , 3
2024/8/23,boston, 17, 13, 24, 11, , 3
2024/8/24,boston, 33, 16, 33, 12, , 5
2024/8/25,boston, 44, 18, 36, 14, , 5
2024/8/26,boston, 51, 21, 31, 15, , 3
2024/8/27,boston, 53, 21, 36, 12, , 4
2024/8/28,boston, 51, 16, 33, 9, , 3
2024/8/29,boston, 39, 11, 15, 4, , 2
2024/8/30,boston, 16, 10, 14, 7, , 3
2024/8/31,boston, 16, 11, 26, 6, , 2
2024/9/1,boston, 22, 10, 27, 4, , 3
2024/9/2,boston, 26, 8, 21, 4, , 1
2024/9/3,boston, 22, 13, 26, 10, , 3
2024/9/4,boston, 19, 17, 19, 11, , 3
2024/9/5,boston, 25, 18, 23, 9, , 3
2024/9/6,boston, 22, 14, 19, 7, , 2
2024/9/7,boston, 25, 10, 24, 6, , 3
2024/9/8,boston, 21, 4, 24, 4, , 3
2024/9/9,boston, 9, 9, 25, 8, , 2
2024/9/10,boston, 17, 11, 28, 13, , 2
2024/9/11,boston, 22, 15, 26, 13, , 3
2024/9/12,boston, 20, 14, 35, 13, , 4
2024/9/13,boston, 24, 14, 41, 10, , 4
2024/9/14,boston, 26, 18, 23, 6, , 4
2024/9/15,boston, 42, 14, 20, 8, , 2
2024/9/16,boston, 35, 15, 26, 11, , 3
2024/9/17,boston, 22, 16, 27, 11, , 3
2024/9/18,boston, 25, 16, 11, 17, , 4
2024/9/19,boston, 28, 9, 21, 10, , 2
2024/9/20,boston, 17, 13, 22, 7, , 1
2024/9/21,boston, 26, 9, 17, 3, , 2
2024/9/22,boston, 21, 13, 22, 4, , 2
2024/9/23,boston, 22, 13, 20, 7, , 2
2024/9/24,boston, 21, 12, 24, 7, , 2
2024/9/25,boston, 19, 16, 22, 4, , 1
2024/9/26,boston, 20, 10, 20, 6, , 3
2024/9/27,boston, 19, 12, 23, 8, , 4
2024/9/28,boston, 22, 10, 19, 7, , 2
2024/9/29,boston, 22, 6, 20, 4, , 1
2024/9/30,boston, 14, 11, 20, 12, , 4
2024/10/1,boston, 23, 12, 19, 8, , 2
2024/4/2,boston, 28, 13, 27, 10, , 2
2024/4/3,boston, 29, 11, 29, 6, , 2
2024/4/4,boston, 22, 6, 32, 6, , 2
2024/4/5,boston, 17, 4, 25, 9, , 2
2024/4/6,boston, 10, 2, 25, 11, , 2
2024/4/7,boston, 12, 4, 28, 10, , 3
2024/4/8,boston, 13, 8, 35, 21, , 3
2024/4/9,boston, 21, 15, 31, 15, , 3
2024/4/10,boston, 21, 16, 30, 12, , 1
2024/4/11,boston, 25, 17, 23, 15, , 2
2024/4/12,boston, 41, 15, 32, 6, , 1
2024/4/13,boston, 32, 8, 28, 4, , 2
2024/4/14,boston, 18, 5, 35, 7, , 2
2024/4/15,boston, 14, 10, 37, 12, , 3
2024/4/16,boston, 26, 7, 34, 15, , 3
2024/4/17,boston, 16, 10, 27, 5, , 1
2024/4/18,boston, 14, 9, 23, 8, , 1
2024/4/19,boston, 15, 9, 29, 6, , 1
2024/4/20,boston, 15, 7, 31, 7, , 3
2024/4/21,boston, 20, 3, 26, 6, , 2
2024/4/22,boston, 10, 8, 35, 13, , 5
2024/4/23,boston, 15, 11, 36, 13, , 3
2024/4/24,boston, 23, 9, 34, 11, , 2
2024/4/25,boston, 17, 8, 29, 8, , 2
2024/4/26,boston, 16, 16, 30, 10, , 2
2024/4/27,boston, 20, 10, 38, 8, , 3
2024/4/28,boston, 20, 9, 32, 5, , 3
2024/4/29,boston, 26, 12, 23, 10, , 3
2024/4/30,boston, 25, 10, 21, 8, , 2
2024/5/1,boston, 18, 11, 25, 8, , 1
2024/5/2,boston, 19, 10, 28, 9, , 3
2024/5/3,boston, 24, 9, 25, 8, , 4
2024/5/4,boston, 15, 9, 24, 5, , 1
2024/5/5,boston, 18, 8, 30, 3, , 2
2024/5/6,boston, 22, 7, 33, 10, , 3
2024/5/7,boston, 19, 16, 30, 10, , 2
2024/5/8,boston, 23, 14, 15, 16, , 3
2024/5/9,boston, 36, 10, 19, 6, , 2
2024/5/10,boston, 18, 9, 24, 5, , 1
2024/5/11,boston, 12, 6, 23, 5, , 2
2024/5/12,boston, 14, 7, 26, 8, , 2
2024/5/13,boston, 19, 13, 30, 7, , 2
2024/5/14,boston, 23, 13, 36, 7, , 2
2024/5/15,boston, 25, 11, 29, 11, , 2
2024/5/16,boston, 21, 8, 31, 8, , 1
2024/5/17,boston, 19, 10, 27, 8, , 2
2024/5/18,boston, 22, 7, 24, 4, , 1
2024/5/19,boston, 15, 5, 20, 4, , 1
2024/5/20,boston, 12, 8, 20, 6, , 1
2024/5/21,boston, 15, 11, 36, 9, , 3
2024/5/22,boston, 24, 15, 47, 10, , 2
2024/5/23,boston, 31, 14, 29, 10, , 3
2024/5/24,boston, 35, 15, 45, 11, , 2
2024/5/25,boston, 26, 11, 27, 5, 1, 2
2024/5/26,boston, 16, 15, 38, 8, 1, 2
2024/5/27,boston, 42, 10, 24, 5, , 1
2024/5/28,boston, 29, 11, 34, 7, 1, 2
2024/5/29,boston, 25, 11, 28, 10, 1, 2
2024/5/30,boston, 18, 10, 21, 9, 1, 2
2024/5/31,boston, 24, 10, 32, 13, 1, 3
2024/6/1,boston, 23, 11, 36, 9, 1, 2
2024/6/2,boston, 24, 14, 48, 8, 1, 3
2024/6/3,boston, 36, 16, 39, 11, 1, 2
2024/6/4,boston, 33, 14, 25, 7, 1, 1
2024/6/5,boston, 18, 18, 37, 9, 1, 2
2024/6/6,boston, 29, 12, 25, 10, 1, 2
2024/6/7,boston, 31, 15, 26, 11, 1, 2
2024/6/8,boston, 24, 9, 23, 4, 1, 2
2024/6/9,boston, 15, 7, 28, 6, 1, 2
2024/6/10,boston, 15, 7, 23, 6, 1, 3
2024/6/11,boston, 15, 9, 18, 6, 1, 2
2024/6/12,boston, 17, 19, 27, 8, 1, 2
2024/6/13,boston, 25, 14, 45, 4, 1, 1
2024/6/14,boston, 32, 16, 39, 4, 1, 2
2024/6/15,boston, 35, 12, 28, 2, 1, 1
2024/6/16,boston, 26, 8, 27, 2, , 1
2024/6/17,boston, 18, 13, 35, 5, 1, 2
2024/6/18,boston, 26, 18, 49, 7, , 2
2024/6/19,boston, 44, 18, 45, 8, , 2
2024/6/20,boston, 42, 18, 46, 9, , 3
2024/6/21,boston, 43, 16, 18, 11, 1, 2
2024/6/22,boston, 34, 17, 19, 10, 1, 2
2024/6/23,boston, 43, 15, 27, 3, 1, 1
2024/6/24,boston, 38, 11, 30, 5, 1, 2
2024/6/25,boston, 22, 17, 35, 8, , 2
2024/6/26,boston, 45, 17, 46, 10, 1, 2
2024/6/27,boston, 46, 10, 35, 9, 1, 2
2024/6/28,boston, 22, 10, 31, 7, 1, 1
2024/6/29,boston, 14, 10, 27, 5, 1, 2
2024/6/30,boston, 18, 10, 26, 3, 1, 2
2024/7/1,boston, 27, 11, 18, 9, 1, 2
2024/1/2,boston, 19, 9, 15, 20, , 4
2024/1/3,boston, 27, 8, 16, 18, , 4
2024/1/4,boston, 30, 6, 26, 13, , 3
2024/1/5,boston, 21, 6, 23, 13, , 3
2024/1/6,boston, 13, 8, 26, 13, , 4
2024/1/7,boston, 29, 5, 26, 7, , 3
2024/1/8,boston, 16, 6, 17, 18, , 4
2024/1/9,boston, 32, 12, 25, 18, , 4
2024/1/10,boston, 30, 7, 26, 7, , 2
2024/1/11,boston, 15, 5, 23, 12, , 3
2024/1/12,boston, 13, 8, 15, 15, , 3
2024/1/13,boston, 25, 9, 27, 5, , 2
2024/1/14,boston, 21, 13, 25, 5, , 2
2024/1/15,boston, 19, 27, 22, 13, , 3
2024/1/16,boston, 29, 10, 17, 20, , 3
2024/1/17,boston, 33, 36, 25, 15, , 3
2024/1/18,boston, 49, 43, 22, 16, , 3
2024/1/19,boston, 46, 28, 22, 19, , 3
2024/1/20,boston, 44, 12, 23, 9, , 2
2024/1/21,boston, 20, 52, 23, 10, , 2
2024/1/22,boston, 41, 56, 23, 19, , 3
2024/1/23,boston, 40, 27, 17, 20, , 3
2024/1/24,boston, 43, 11, 9, 21, , 3
2024/1/25,boston, 56, 7, 19, 17, , 3
2024/1/26,boston, 24, 7, 17, 11, , 2
2024/1/27,boston, 17, 6, 17, 9, , 2
2024/1/28,boston, 20, 6, 21, 10, , 2
2024/1/29,boston, 20, 6, 20, 6, , 1
2024/1/30,boston, 11, 12, 26, 7, , 1
2024/1/31,boston, 16, 12, 22, 17, , 3
2024/2/1,boston, 30, 17, 15, 19, , 4
2024/2/2,boston, 52, 17, 12, 15, , 3
2024/2/3,boston, 52, 7, 25, 9, , 2
2024/2/4,boston, 19, 6, 29, 11, , 2
2024/2/5,boston, 17, 7, 31, 15, , 2
2024/2/6,boston, 15, 9, 26, 10, , 3
2024/2/7,boston, 14, 11, 24, 14, , 3
2024/2/8,boston, 20, 14, 20, 26, , 5
2024/2/9,boston, 33, 12, 26, 22, , 3
2024/2/10,boston, 31, 17, 24, 15, , 3
2024/2/11,boston, 45, 7, 20, 8, , 3
2024/2/12,boston, 21, 10, 23, 15, , 3
2024/2/13,boston, 21, 9, 18, 10, , 2
2024/2/14,boston, 20, 11, 26, 11, , 2
2024/2/15,boston, 21, 8, 28, 13, , 2
2024/2/16,boston, 17, 13, 27, 13, , 3
2024/2/17,boston, 26, 10, 23, 13, , 3
2024/2/18,boston, 20, 9, 29, 11, , 3
2024/2/19,boston, 23, 9, 28, 13, , 3
2024/2/20,boston, 20, 9, 25, 16, , 2
2024/2/21,boston, 17, 16, 27, 22, , 4
2024/2/22,boston, 28, 15, 28, 21, , 5
2024/2/23,boston, 33, 17, 23, 21, , 3
2024/2/24,boston, 49, 10, 29, 11, , 2
2024/2/25,boston, 33, 6, 29, 11, , 2
2024/2/26,boston, 15, 11, 27, 16, , 6
2024/2/27,boston, 27, 16, 32, 19, , 12
2024/2/28,boston, 39, 13, 38, 6, , 2
2024/2/29,boston, 32, 5, 28, 7, , 2
2024/3/1,boston, 16, 8, 27, 13, , 3
2024/3/2,boston, 21, 10, 26, 17, , 2
2024/3/3,boston, 25, 4, 28, 14, , 4
2024/3/4,boston, 15, 8, 25, 11, , 3
2024/3/5,boston, 19, 6, 23, 12, , 2
2024/3/6,boston, 17, 10, 13, 16, , 3
2024/3/7,boston, 29, 2, 27, 7, , 2
2024/3/8,boston, 6, 9, 27, 11, , 2
2024/3/9,boston, 14, 14, 29, 14, , 5
2024/3/10,boston, 29, 4, 30, 4, , 1
2024/3/11,boston, 11, 3, 28, 8, , 2
2024/3/12,boston, 7, 5, 31, 12, , 2
2024/3/13,boston, 10, 13, 28, 13, , 2
2024/3/14,boston, 15, 14, 27, 17, , 2
2024/3/15,boston, 22, 11, 25, 12, , 2
2024/3/16,boston, 22, 7, 32, 10, , 3
2024/3/17,boston, 21, 8, 30, 6, , 2
2024/3/18,boston, 20, 4, 27, 10, , 2
2024/3/19,boston, 12, 4, 27, 11, , 3
2024/3/20,boston, 11, 9, 28, 11, , 2
2024/3/21,boston, 21, 4, 28, 6, , 2
2024/3/22,boston, 8, 6, 28, 13, , 3
2024/3/23,boston, 13, 12, 1, 12, , 2
2024/3/24,boston, 23, 5, , 9, , 2
2024/3/25,boston, 15, 13, 27, 8, , 2
2024/3/26,boston, 22, 9, 28, 8, , 1
2024/3/27,boston, 19, 10, 17, 15, , 2
2024/3/28,boston, 25, 9, 13, 20, , 4
2024/3/29,boston, 30, 7, 30, 12, , 2
2024/3/30,boston, 21, 4, 31, 8, , 2
2024/3/31,boston, 12, 5, 32, 14, , 3
2024/4/1,boston, 16, 15, 20, 27, , 4
2023/10/2,boston, 94, , 23, 11, , 5
2023/10/3,boston, 50, , 32, 16, , 5
2023/10/4,boston, 41, , 25, 15, , 4
2023/10/5,boston, 55, , 39, 13, , 5
2023/10/6,boston, 50, , 20, 9, , 2
2023/10/7,boston, 29, , 26, 7, , 3
2023/10/8,boston, 37, , 22, 3, , 2
2023/10/9,boston, 11, , 23, 8, , 3
2023/10/10,boston, 15, , 24, 16, , 4
2023/10/11,boston, 25, , 31, 15, , 4
2023/10/12,boston, 31, , 29, 16, , 4
2023/10/13,boston, 27, , 18, 8, , 2
2023/10/14,boston, 14, , 17, 8, , 4
2023/10/15,boston, 20, , 17, 6, , 2
2023/10/16,boston, 17, , 14, 9, , 2
2023/10/17,boston, 13, , 12, 8, , 3
2023/10/18,boston, 15, , 11, 13, , 5
2023/10/19,boston, 22, , 24, 9, , 3
2023/10/20,boston, 16, , 19, 11, , 3
2023/10/21,boston, 17, , 23, 12, , 2
2023/10/22,boston, 15, , 13, 4, , 2
2023/10/23,boston, 6, , 12, 7, , 2
2023/10/24,boston, 8, , 20, 13, , 4
2023/10/25,boston, 18, , 19, 15, , 3
2023/10/26,boston, 27, , 32, 22, , 6
2023/10/27,boston, 41, , 33, 20, , 6
2023/10/28,boston, 51, , 32, 13, , 4
2023/10/29,boston, 35, , 17, 7, , 2
2023/10/30,boston, 11, , 21, 11, , 3
2023/10/31,boston, 10, , 22, 10, , 3
2023/11/1,boston, 14, , 18, 12, , 2
2023/11/2,boston, 18, , 21, 15, , 3
2023/11/3,boston, 22, , 26, 16, , 3
2023/11/4,boston, 29, , 25, 16, , 5
2023/11/5,boston, 33, , 28, 18, , 5
2023/11/6,boston, 48, , 19, 11, , 2
2023/11/7,boston, 25, , 35, 12, , 3
2023/11/8,boston, 41, , 22, 10, , 2
2023/11/9,boston, 9, , 10, 16, , 4
2023/11/10,boston, 23, , 17, 14, , 4
2023/11/11,boston, 24, , 23, 9, , 3
2023/11/12,boston, 16, , 23, 12, , 3
2023/11/13,boston, 23, , 18, 17, , 4
2023/11/14,boston, 27, , 18, 15, , 4
2023/11/15,boston, 28, , 13, 14, , 4
2023/11/16,boston, 24, , 18, 20, , 5
2023/11/17,boston, 46, , 28, 17, , 5
2023/11/18,boston, 42, , 23, 10, , 3
2023/11/19,boston, 17, , 9, 10, , 2
2023/11/20,boston, 17, , 21, 11, , 2
2023/11/21,boston, 14, , 20, 13, , 3
2023/11/22,boston, 19, , 22, 8, , 3
2023/11/23,boston, 15, , 19, 7, , 3
2023/11/24,boston, 11, , 26, 7, , 3
2023/11/25,boston, 20, , 24, 14, , 4
2023/11/26,boston, 18, , 25, 14, , 3
2023/11/27,boston, 28, , 25, 8, , 2
2023/11/28,boston, 14, 5, 24, 9, , 2
2023/11/29,boston, 16, 6, 22, 15, , 3
2023/11/30,boston, 16, 16, 18, 19, , 4
2023/12/1,boston, 46, 15, 19, 19, , 4
2023/12/2,boston, 41, 16, 18, 14, , 5
2023/12/3,boston, 55, 10, 24, 8, , 2
2023/12/4,boston, 29, 9, 13, 14, , 3
2023/12/5,boston, 22, 6, 18, 10, , 3
2023/12/6,boston, 18, 9, 20, 13, , 2
2023/12/7,boston, 24, 9, 16, 18, , 4
2023/12/8,boston, 27, 13, 8, 24, , 4
2023/12/9,boston, 43, 16, 20, 16, , 4
2023/12/10,boston, 37, 15, 31, 8, , 2
2023/12/11,boston, 41, 3, 25, 8, , 2
2023/12/12,boston, 10, 5, 23, 17, , 3
2023/12/13,boston, 15, 9, 22, 13, , 3
2023/12/14,boston, 26, 5, 22, 16, , 4
2023/12/15,boston, 12, 11, 19, 18, , 4
2023/12/16,boston, 31, 12, 23, 15, , 3
2023/12/17,boston, 35, 15, 23, 9, , 1
2023/12/18,boston, 31, 8, 32, 5, , 2
2023/12/19,boston, 20, 4, 16, 11, , 3
2023/12/20,boston, 12, 5, 21, 14, , 3
2023/12/21,boston, 13, 7, 23, 13, , 2
2023/12/22,boston, 16, 10, 15, 22, , 5
2023/12/23,boston, 23, 12, 19, 24, 1, 6
2023/12/24,boston, 33, 8, 14, 21, , 3
2023/12/25,boston, 23, 10, 25, 13, , 3
2023/12/26,boston, 27, 10, 8, 19, , 5
2023/12/27,boston, 35, 14, 10, 21, , 4
2023/12/28,boston, 34, 3, 14, 9, , 2
2023/12/29,boston, 12, 7, 11, 13, , 3
2023/12/30,boston, 19, 5, 16, 9, , 3
2023/12/31,boston, 17, 2, 19, 8, , 3
2024/1/1,boston, 10, 5, 18, 11, , 3
2023/7/2,boston, 95, , 39, 6, , 6
2023/7/3,boston, 106, , 31, 11, , 5
2023/7/4,boston, 37, , 21, 9, , 4
2023/7/5,boston, 38, , 43, 9, , 4
2023/7/6,boston, 48, , 42, 9, , 4
2023/7/7,boston, 53, , 36, 6, , 2
2023/7/8,boston, 35, , 29, 5, , 3
2023/7/9,boston, 35, , 24, 3, , 1
2023/7/10,boston, 27, , 8, 8, , 1
2023/7/11,boston, 22, , 31, 8, , 3
2023/7/12,boston, 36, , 49, 11, , 3
